Searching for text files...
Found 50000 files. Starting processing...

Worker-2 -> file1053.txt: 8390 slow
Worker-4 -> file10531.txt: 7668 slow
Worker-8 -> file10532.txt: 6369 slow
Worker-5 -> file10539.txt: 1538 slow
Worker-2 -> file1054.txt: 1540 slow
Worker-8 -> file10541.txt: 1125 slow
Worker-7 -> file10533.txt: 7625 slow
Worker-6 -> file10537.txt: 6668 slow
Worker-8 -> file10544.txt: 2006 slow
Worker-1 -> file10535.txt: 8240 slow
Worker-7 -> file10545.txt: 1884 slow
Worker-4 -> file10540.txt: 4159 slow
Worker-2 -> file10543.txt: 2955 slow
Worker-3 -> file10538.txt: 7450 slow
Worker-8 -> file10547.txt: 1463 slow
Worker-4 -> file1055.txt: 1124 slow
Worker-5 -> file10542.txt: 5262 slow
Worker-4 -> file10553.txt: 1862 slow
Worker-6 -> file10546.txt: 6203 slow
Worker-3 -> file10551.txt: 4937 slow
Worker-7 -> file10549.txt: 6650 slow
Worker-8 -> file10552.txt: 6062 slow
Worker-1 -> file10548.txt: 7353 slow
Worker-2 -> file10550.txt: 7639 slow
Worker-6 -> file10556.txt: 3540 slow
Worker-1 -> file1056.txt: 2334 slow
Worker-5 -> file10554.txt: 7888 slow
Worker-8 -> file10559.txt: 2933 slow
Worker-2 -> file10560.txt: 1730 slow
Worker-3 -> file10557.txt: 4178 slow
Worker-7 -> file10558.txt: 5532 slow
Worker-2 -> file10565.txt: 2106 slow
Worker-8 -> file10564.txt: 3190 slow
Worker-4 -> file10555.txt: 9981 slow
Worker-3 -> file10566.txt: 4192 slow
Worker-2 -> file10568.txt: 1516 slow
Worker-7 -> file10567.txt: 2858 slow
Worker-8 -> file10569.txt: 1996 slow
